DEPARTAMENTO,count,mean,min,max,std
AMAZONAS,80,13.07,7.72,21.69,3.33
ANCASH,162,7.7,1.53,17.7,3.92
APURIMAC,83,5.41,0.56,11.73,2.67
AREQUIPA,102,6.83,-4.39,17.38,6.01
AYACUCHO,117,6.25,0.93,17.38,2.82
CAJAMARCA,127,12.07,5.73,19.91,3.37
CALLAO,2,17.44,17.06,17.82,0.54
CUSCO,110,4.23,-4.12,21.19,4.29
HUANCAVELICA,97,4.78,-0.97,12.23,3.07
HUANUCO,82,9.61,2.47,22.06,5.36
ICA,39,13.96,1.77,17.22,2.77
JUNIN,103,4.69,-0.81,19.07,4.64
LA LIBERTAD,82,12.62,4.93,18.59,4.43
LAMBAYEQUE,37,17.84,9.95,18.9,1.91
LIMA,153,9.66,-0.48,18.21,6.25
LORETO,53,22.42,20.55,23.01,0.5
MADRE DE DIOS,11,21.6,19.37,22.36,0.84
MOQUEGUA,20,4.77,-3.41,15.84,6.35
PASCO,28,7.24,1.13,20.41,5.7
PIURA,61,18.23,10.69,21.27,2.67
PUNO,107,1.06,-5.19,20.19,4.49
SAN MARTIN,75,19.59,9.79,22.34,2.29
TACNA,28,6.59,-5.16,16.0,7.0
TUMBES,13,21.67,20.73,22.69,0.7
UCAYALI,17,21.84,20.08,22.18,0.5
